,city,city_cloud,city_hum,city_lat,city_temp,city_wind
150,sinnamary,0,93,5.38,83.38,12.33
151,saskylakh,92,89,71.97,30.01,16.02
152,lorengau,32,100,-2.02,82.84,8.63
153,yalova,75,72,40.66,61.16,12.75
154,saint george,75,54,39.45,59.0,84.11
155,omboue,88,100,-1.57,77.89,9.64
156,longyearbyen,40,68,78.22,24.8,16.11
157,sterling,90,100,39.0,59.0,7.63
158,cape town,90,87,-33.93,59.0,14.99
159,tezu,12,86,27.93,63.76,1.92
160,teguldet,0,82,57.31,40.9,3.71
161,ceyhan,0,73,37.03,75.2,4.7
162,araci,0,40,-11.34,83.65,14.45
163,luderitz,8,84,-26.65,55.48,17.81
164,erzin,0,73,36.95,76.24,4.7
165,heiligenhafen,40,82,54.37,62.6,6.93
166,balkanabat,0,56,39.51,56.92,1.14
167,vysokogornyy,0,73,50.1,26.32,2.15
168,raudeberg,40,66,61.99,43.38,21.92
169,yulara,0,12,-25.24,64.4,10.29
170,pancol,88,96,10.87,80.5,14.79
171,sambava,92,100,-14.27,74.56,16.35
172,cabo san lucas,75,74,22.89,89.02,5.82
173,salgueiro,92,28,-8.07,89.5,7.63
174,bilari,0,93,28.62,72.76,2.71
175,henderson,1,7,36.04,89.1,3.36
176,chiang rai,20,100,19.9,73.4,2.04
177,gambo,0,74,11.96,78.07,3.27
178,ambon,0,93,47.55,59.0,4.7
179,atuona,8,100,-9.8,78.88,12.77
180,carnarvon,0,35,-30.97,45.58,4.61
181,kostino,0,32,41.7,53.6,11.41
182,ponta do sol,76,51,-20.63,80.95,1.36
183,xichang,92,99,27.88,54.31,1.7
184,foumban,92,98,5.73,65.2,2.37
185,mehendiganj,0,94,22.82,80.95,6.62
186,rustenburg,68,42,-25.67,73.03,4.94
187,shestakovo,92,98,56.49,39.28,3.27
188,port hedland,0,93,-20.31,64.4,8.05
189,jalu,0,72,29.03,66.46,7.4
190,strezhevoy,0,71,60.73,53.6,6.71
191,north battleford,40,51,52.78,39.2,18.34
192,husavik,48,100,50.56,46.03,15.01
193,charters towers,0,82,-20.07,60.79,2.93
194,polyarnyy,40,74,69.2,37.4,6.71
195,gorontalo,0,88,0.54,73.03,3.71
196,poya,0,99,-21.35,70.15,18.03
197,cabedelo,88,92,-6.97,78.25,15.01
198,ribeira grande,20,88,38.52,77.0,8.05
199,bage,0,76,10.95,78.7,2.93
200,airai,0,87,-8.93,61.87,2.15
201,minna,0,81,9.62,78.07,6.73
202,eganville,20,51,45.54,62.6,4.7
203,champa,0,88,22.03,73.3,2.71
204,eydhafushi,80,100,5.1,82.66,20.04
205,hobyo,12,88,5.35,77.17,14.67
206,aykhal,12,80,65.95,23.35,4.72
207,geraldton,90,87,49.72,50.0,3.36
208,fukuma,0,72,33.77,67.33,12.44
209,guerrero negro,0,50,27.97,85.27,11.21
210,nzerekore,48,97,7.76,69.79,3.04
211,leshukonskoye,92,98,64.9,39.91,6.06
212,castro,92,98,-42.48,49.63,10.54
213,san pedro,76,67,-33.68,68.53,14.34
214,vostok,0,90,46.45,31.63,2.37
215,jasper,75,100,33.83,75.33,3.94
216,umm kaddadah,0,48,13.6,79.87,7.63
217,aktau,0,81,43.65,48.2,8.95
218,saldanha,64,89,41.42,62.95,2.37
219,mishan,0,83,45.55,36.13,2.26
220,vardo,90,93,39.62,58.05,2.93
221,miles city,90,85,46.41,46.04,3.36
222,nanortalik,80,89,60.14,42.61,23.73
223,nikolskoye,75,53,59.7,50.0,15.66
224,kalemie,88,97,-5.95,75.82,6.85
225,alice town,8,99,25.72,85.27,15.9
226,noumea,0,77,-22.28,66.2,2.24
227,moose factory,90,93,51.26,46.4,6.93
228,kieta,8,100,-6.22,77.44,11.43
229,nizwa,0,46,22.93,72.94,4.72
230,dwarka,0,83,28.58,80.6,2.71
231,faya,0,77,18.39,72.57,5.82
232,zyryanka,24,89,65.73,27.67,2.71
233,san juan,8,42,-31.54,71.32,4.5
234,victoria,75,94,5.28,78.04,1.12
235,kingseat,20,71,56.1,49.55,5.82
236,sao joao da barra,8,93,-21.64,76.63,26.75
237,broome,0,48,52.47,61.77,5.82
238,richards bay,0,89,-28.77,69.61,3.94
239,alamos,100,94,-36.9,53.5,11.99
240,mawlaik,36,85,23.63,75.28,2.15
241,atambua,0,100,-9.11,72.67,6.29
242,krasnoarmeysk,0,66,56.12,48.2,11.18
243,broken hill,0,77,-31.97,49.81,10.42
244,pangnirtung,20,69,66.15,35.6,13.87
245,qeshm,0,74,26.96,86.0,4.7
246,sept-iles,20,62,50.2,51.8,11.41
247,chumphon,36,91,10.5,75.1,2.93
248,nikki,76,89,9.94,75.1,8.86
249,alyangula,0,100,-13.85,73.66,4.72
250,kudahuvadhoo,64,100,2.67,81.31,26.31
251,arlit,64,20,18.74,84.37,2.93
252,port pirie,64,93,-33.18,42.8,5.82
253,agogo,80,95,6.8,73.21,3.38
254,eyl,0,93,7.98,76.09,16.46
255,ugoofaaru,80,100,5.67,82.66,20.04
256,banjar,56,94,-7.37,63.31,2.04
257,naron,75,88,43.52,64.4,1.12
258,nouadhibou,0,64,20.93,75.2,19.46
259,barcelos,0,88,41.53,69.12,6.93
260,chokurdakh,92,95,70.62,36.31,13.89
261,huarmey,8,52,-10.07,73.93,4.16
262,musiri,40,74,10.95,84.2,5.73
263,uvat,88,60,59.14,58.27,3.49
264,bafoulabe,80,100,13.81,72.22,2.37
265,kalabo,12,30,-15.0,71.77,5.95
266,bay roberts,75,82,47.58,62.6,21.92
267,harrisburg,90,63,40.27,64.85,3.49
268,catuday,92,100,16.29,78.97,5.17
269,khatanga,92,92,71.98,44.05,15.9
270,nishihara,1,94,35.74,58.06,3.36
271,labis,0,96,2.38,71.5,2.59
272,talnakh,88,93,69.49,42.7,3.71
273,caravelas,8,100,-17.73,77.17,18.59
274,prieska,0,31,-29.67,50.35,2.59
275,evensk,76,100,61.92,35.5,4.38
276,schwabisch hall,0,58,49.11,58.68,3.36
277,kisangani,100,97,0.52,73.3,2.15
278,vanimo,0,100,-2.67,83.02,6.96
279,sur,0,91,22.57,83.83,6.73
280,carballo,75,88,43.21,66.27,1.12
281,panama city,75,70,30.16,87.91,14.99
282,juegang,56,100,32.31,67.45,4.16
283,entebbe,20,88,0.06,71.6,5.82
284,kjopsvik,40,100,68.1,33.8,10.29
285,colimes,20,55,-1.55,87.8,10.29
286,new norfolk,75,57,-42.78,51.8,6.93
287,mandal,88,86,48.82,30.01,3.49
288,dikson,88,92,73.51,40.27,18.48
289,agadir,40,78,30.42,73.4,4.7
290,rocky mountain house,92,90,52.38,39.64,2.15
291,mackay,90,80,53.65,42.85,8.05
292,shimoda,0,100,34.7,68.08,5.95
293,grand-santi,12,39,4.27,92.83,4.27
294,verkhoyansk,0,86,67.55,19.84,5.95
295,meulaboh,0,100,4.14,78.07,4.16
296,trat,64,100,12.25,79.24,6.29
297,hambantota,68,100,6.12,79.42,8.41
298,shingu,0,100,33.72,68.26,8.63
299,esso,12,82,55.93,26.05,2.26
300,ilulissat,75,69,69.22,33.8,17.22
301,multan,92,42,30.2,84.2,3.6
302,srivardhan,8,96,18.03,76.0,2.93
303,ekhabi,0,93,53.51,41.71,10.42
304,yaan,76,98,7.38,72.85,7.18
305,sorland,40,100,67.67,32.0,7.18
306,cascais,0,54,38.7,79.43,18.34
307,kutum,48,66,14.2,69.88,1.03
308,tabuk,24,97,17.41,67.18,2.48
309,rosetta,0,73,31.4,75.2,3.36
310,savannah bight,12,99,16.45,84.1,16.02
311,marsh harbour,76,100,26.54,83.65,13.22
312,amga,68,85,60.89,36.94,4.38
313,vienne,0,52,45.53,63.0,1.12
314,mandera,68,65,3.94,78.88,11.99
315,lipin bor,92,100,60.26,44.14,23.06
316,kalmunai,48,100,7.42,73.57,3.15
317,nador,12,78,35.17,73.15,14.99
318,ballina,20,87,54.11,46.4,6.93
319,bundaberg,0,94,-24.87,70.78,10.65
320,yeniseysk,92,96,58.45,47.83,2.93
321,nuuk,90,100,64.17,39.2,18.34
322,port elizabeth,90,56,39.31,71.01,4.7
323,werda,0,50,50.44,55.27,3.36
324,mossendjo,92,91,-2.95,74.74,2.71
325,gejiu,92,99,23.36,62.23,2.26
326,ovsyanka,0,79,53.58,42.61,4.94
327,havre-saint-pierre,40,71,50.23,50.0,18.34
328,laibin,92,94,23.74,65.65,11.1
329,buluang,75,83,10.47,78.8,4.7
330,nueva granada,20,62,9.8,90.49,4.38
331,bocanda,56,92,7.06,75.55,4.16
332,morristown,90,100,36.21,68.36,4.7
333,qaanaaq,12,100,77.48,17.5,5.39
334,nagato,20,60,34.35,69.8,8.05
335,cayenne,32,59,4.94,89.6,14.99
336,saint-philippe,1,59,45.36,62.29,4.16
337,mumbwa,0,32,-14.99,74.65,11.54
338,dubai,0,23,25.27,93.06,4.7
339,taoudenni,0,22,22.68,84.01,6.4
340,gotsu,0,91,35.01,59.98,9.19
341,bystrzyca klodzka,0,84,50.3,45.49,4.38
342,maceio,20,69,-9.67,80.6,13.87
343,krasnyy klyuch,92,95,55.39,42.79,16.13
344,teguise,20,73,29.06,75.2,5.82
345,salamiyah,0,88,35.01,60.07,2.71
346,conakry,75,88,9.52,77.0,9.17
347,elat,36,97,2.91,69.61,2.82
348,beloha,8,89,-25.17,61.33,2.71
349,pacific grove,1,47,36.62,63.36,4.7
350,channel-port aux basques,80,95,47.57,53.59,13.56
351,coihaique,40,57,-45.58,50.0,2.24
352,verkhnevilyuysk,76,81,63.45,41.71,5.95
353,mayskiy,0,81,43.63,51.8,4.47
354,pundaguitan,0,100,6.37,82.93,8.63
355,tucuman,12,65,-17.17,66.1,3.6
356,arshan,0,63,14.32,59.8,3.94
357,fagerstrand,0,100,59.74,47.44,3.36
358,chodov,0,54,50.24,53.6,3.36
359,yar-sale,92,100,66.83,47.65,12.66
360,vetluga,92,97,57.85,42.61,8.63
361,zhaotong,100,99,27.34,52.87,2.82
362,adrar,75,42,27.87,82.4,12.75
363,davenport,1,35,41.52,69.71,16.11
364,kloulklubed,75,94,7.04,75.2,12.77
365,wonosobo,0,84,-7.36,52.69,2.37
366,yumen,0,53,40.29,35.23,3.6
367,griffith,0,62,-34.29,52.87,7.52
368,osakarovka,0,75,50.56,47.47,10.65
369,auki,0,76,12.18,76.45,2.71
370,tuatapere,24,100,-46.13,46.48,11.21
371,namatanai,0,100,-3.66,82.03,17.25
372,ulaangom,0,71,49.98,23.62,2.93
373,derzhavinsk,20,47,51.1,55.03,12.21
374,oranjestad,20,62,12.52,89.6,18.34
375,mashhad,0,29,36.3,66.2,4.7
376,korem,0,88,12.51,50.35,1.36
377,nhulunbuy,40,94,-12.18,68.0,15.57
378,canutama,48,65,-6.53,89.68,2.37
379,savona,0,40,44.31,68.76,4.7
380,nowy targ,0,87,49.48,49.32,4.7
381,lasa,20,83,34.92,75.04,4.7
382,dalvik,75,93,57.79,53.6,19.46
383,george town,75,88,5.42,79.63,6.93
384,curvelo,36,44,-18.76,84.73,2.82
385,kurchum,0,83,48.57,43.6,2.71
386,el alto,40,14,-16.5,60.8,11.41
387,tanout,56,16,14.97,90.58,8.19
388,krasnoborsk,88,96,61.56,41.8,4.94
389,riyadh,0,10,24.63,84.2,2.93
390,utran,0,99,21.23,83.11,5.39
391,novikovo,0,100,45.05,37.66,2.59
392,lachhmangarh,0,63,27.82,69.34,4.5
393,ca mau,0,96,9.18,79.96,6.73
394,nchelenge,92,31,-9.35,84.01,5.95
395,los llanos de aridane,20,78,28.66,73.4,12.75
396,cumberland,1,63,41.97,68.41,8.05
397,altamira,75,70,-3.2,86.0,3.36
398,bucerias,90,78,20.76,82.4,6.17
399,dong hoi,44,100,17.48,82.3,8.97
400,solnechnyy,0,82,50.72,33.61,2.71
401,padang,48,100,-0.92,77.35,3.94
402,general pico,92,100,-35.66,59.53,11.21
403,krasnogorsk,0,66,55.82,46.4,11.18
404,urucui,12,27,-7.23,94.81,8.86
405,kaabong,0,67,3.51,66.91,5.5
406,serra,0,69,-20.13,82.4,23.04
407,tiznit,8,85,29.7,71.23,3.6
408,hannibal,1,35,39.71,70.03,9.17
409,zhezkazgan,0,75,47.8,44.5,2.82
410,lensk,92,98,60.71,44.68,2.15
411,kargopol,88,95,61.51,40.72,10.42
412,weligama,48,95,5.97,78.88,2.59
413,aksarka,92,96,66.56,45.49,9.19
414,lokoja,36,94,7.8,73.84,3.15
415,staryy nadym,92,95,65.61,51.88,18.48
416,la baule-escoublac,0,93,47.28,60.98,4.7
417,bilibino,88,76,68.06,41.62,7.74
418,bredasdorp,0,72,-34.53,60.8,3.36
419,imst,0,71,47.24,52.43,3.36
420,milan,0,76,45.47,57.2,1.12
421,kletskaya,8,59,49.31,48.91,13.67
422,ulladulla,0,81,-35.36,46.4,5.82
423,san ramon,75,73,12.92,75.2,9.17
424,port blair,0,100,11.67,82.21,6.85
425,tupiza,20,10,-21.44,61.15,4.72
426,roald,75,87,62.58,41.58,14.99
427,abbeville,0,87,50.11,57.36,3.36
428,gasa,48,68,27.91,26.5,0.69
429,arica,0,63,-18.48,69.15,12.75
430,mayumba,92,98,-3.44,75.28,6.62
431,lander,1,22,42.83,63.36,19.46
432,chicama,0,77,-7.84,66.2,11.41
433,banda aceh,8,100,5.56,72.13,1.7
434,valdivia,100,98,-39.81,51.97,12.33
435,giyani,0,69,-23.32,70.6,2.93
436,port townsend,1,82,48.12,63.77,5.82
437,hofn,0,55,64.25,39.2,8.05
438,aizawl,80,94,23.74,73.3,1.81
439,alta floresta,36,91,-9.87,80.23,1.92
440,sochi,75,87,43.6,60.8,2.37
441,brae,48,49,60.4,47.43,14.99
442,constitucion,90,60,23.99,69.8,11.41
443,presidencia roque saenz pena,36,82,-26.79,76.45,11.65
444,camenca,44,76,47.82,51.43,6.4
445,camabatela,44,84,-8.19,66.01,4.38
446,ilhabela,92,100,-23.78,71.23,7.4
447,cheyenne,1,5,41.14,68.9,13.87
448,saint-joseph,0,72,43.56,63.86,3.36
449,robe,44,90,7.12,51.7,2.59
450,pouebo,8,75,-20.4,72.67,11.99
451,serowe,32,33,-22.4,74.11,15.01
452,sembakung,92,100,3.82,73.03,1.92
453,tual,8,100,-5.67,79.96,15.23
454,zhatay,40,85,62.16,48.2,8.95
455,wewak,44,100,-3.55,74.74,2.59
456,macklin,0,43,52.34,47.74,16.58
457,ouidah,20,94,6.37,75.37,6.17
458,acushnet,1,63,41.68,69.19,8.05
459,lingdong,48,96,28.06,60.43,2.37
460,isla mujeres,75,74,21.23,86.0,10.29
461,bagdarin,92,94,54.44,38.74,9.08
462,bluff,0,84,-23.58,63.31,8.97
463,tocopilla,0,93,-22.09,62.95,6.62
464,khandyga,76,89,62.65,40.45,4.27
465,maragogi,92,90,-9.01,75.91,8.41
466,sumbe,12,100,-11.2,70.51,7.07
467,aquidauana,48,91,-20.47,75.91,6.96
468,sierpc,0,85,52.85,56.65,12.66
469,tateyama,92,100,36.66,53.77,0.81
470,jacqueville,40,83,5.21,80.6,10.29
471,payson,1,3,40.04,69.6,2.37
472,progreso,75,68,-34.68,63.46,16.58
473,huinan,56,77,42.68,47.11,7.29
474,panalingaan,56,100,8.78,77.35,7.74
475,iquitos,40,55,-3.75,91.4,3.36
476,hauterive,0,42,46.09,62.6,4.7
477,taos,1,5,36.41,69.33,13.87
478,villa carlos paz,75,100,-31.42,64.4,11.41
479,mubi,0,88,10.27,71.14,2.26
480,te anau,8,86,-45.41,40.63,5.17
481,kargasok,0,88,59.06,46.93,2.37
482,pimentel,68,89,-3.7,77.53,1.03
483,texarkana,90,72,33.44,68.0,5.82
484,seymchan,44,100,62.93,26.77,2.93
485,kabinda,12,77,-6.14,72.04,6.73
486,ouargaye,48,87,11.5,75.28,4.05
487,abengourou,80,89,6.73,76.54,4.38
488,pavlovka,68,92,52.69,44.14,15.68
489,peleduy,92,98,59.63,42.07,2.15
490,belawan,12,98,-0.59,73.93,1.7
491,requena,20,73,39.49,71.6,2.24
492,dubbo,0,61,-32.25,48.2,10.29
493,hounde,12,75,11.5,80.41,3.49
494,binga,0,60,-17.62,73.48,2.59
495,sikeston,40,75,36.88,63.9,8.97
496,alekseyevsk,88,98,57.84,38.56,2.93
497,gambela,24,84,8.25,63.85,2.71
498,xai-xai,0,96,-25.04,73.93,6.29
499,belyy yar,100,100,53.6,51.8,2.24
500,saint-francois,0,59,46.42,62.6,2.71
501,san carlos de bariloche,75,76,-41.13,48.2,3.36
502,bafq,0,43,31.6,55.75,3.71
503,san rafael,32,66,-34.61,60.97,5.95
504,tura,76,99,25.52,72.85,2.71
505,oranjemund,92,95,-28.55,57.46,1.59
506,ust-nera,88,100,64.57,20.74,2.48
507,mazagao,20,52,-0.12,93.2,17.22
508,ushtobe,80,73,45.25,46.57,4.16
509,la paz,20,49,24.15,91.4,4.7
510,vrangel,24,100,42.73,58.9,4.72
511,normandin,75,54,48.84,57.2,9.17
512,dingle,64,89,11.0,77.17,7.07
513,roma,0,60,41.89,68.07,4.7
514,kwinana,48,71,-32.25,52.43,17.22
515,manavalakurichi,40,88,8.13,80.6,3.36
516,esperance,75,94,10.24,77.0,2.24
517,shirokiy,0,83,53.87,44.68,13.22
518,healdsburg,1,49,38.61,73.51,8.05
519,guozhen,32,91,29.3,60.7,4.83
520,vestmannaeyjar,88,91,63.44,44.68,13.22
521,batemans bay,8,82,-35.71,56.65,6.4
522,fort nelson,90,86,58.81,37.4,3.36
523,libenge,48,99,3.65,73.48,2.37
524,aldan,36,61,58.61,47.83,5.84
525,arman,90,93,59.7,44.6,2.24
526,bud,75,87,62.91,43.41,4.7
527,aquiraz,20,66,-3.9,84.2,12.75
528,sauce,40,72,-34.65,63.5,19.46
529,rawlins,1,6,41.79,65.12,28.86
530,rio gallegos,0,63,-51.62,59.0,9.17
531,quatre cocos,75,73,-20.21,73.4,12.75
532,yuzhno-kurilsk,92,100,44.03,54.31,11.32
533,calvia,20,73,39.57,69.8,6.93
534,san patricio,32,81,-26.98,74.83,3.49
535,cockburn town,80,100,21.46,82.48,14.67
536,coruripe,88,99,-10.12,77.26,12.21
537,hurricane,1,3,37.18,77.2,3.36
538,mount isa,40,42,-20.73,62.6,2.24
539,inirida,24,62,3.87,88.15,2.04
540,pak phanang,20,100,8.35,78.25,3.94
541,kawalu,0,85,-7.38,48.37,1.36
542,bahua,0,84,25.85,76.81,2.15
543,jumla,0,87,29.28,35.32,2.71
544,namibe,0,100,-15.19,66.37,11.99
545,maningrida,0,86,-12.05,74.11,9.86
546,yerofey pavlovich,0,85,53.97,39.28,4.05
547,mpanda,88,42,-6.34,76.9,5.17
548,beyneu,0,90,45.32,43.24,3.15
549,rocha,76,67,-34.48,61.96,14.67
550,luena,68,64,-11.78,70.51,2.71
551,west wendover,1,5,40.74,69.98,8.05
552,saint-prosper,0,59,46.21,56.47,2.71
553,susangerd,0,28,31.56,86.0,4.7
554,chernyshevskiy,36,98,63.01,37.12,3.38
555,tessalit,68,27,20.2,83.29,4.27
556,sobolevo,48,82,54.43,45.85,11.77
557,sao miguel do araguaia,0,61,-13.28,87.25,5.61
558,gat,0,62,14.69,85.9,7.4
559,balyaga,92,86,51.15,34.6,7.4
560,axim,92,98,4.87,78.25,11.77
561,sibolga,32,100,1.74,68.8,1.92
562,gezing,0,81,47.92,51.8,4.7
563,jatiroto,0,100,-6.89,72.04,6.29
564,marihatag,32,100,8.8,82.57,1.7
565,camacupa,20,88,-12.02,61.15,2.59
566,norman wells,20,69,65.28,37.4,19.46
567,samarai,76,99,-10.62,77.53,12.55
568,fort-shevchenko,0,100,44.51,52.96,3.6
569,clive,1,40,41.61,70.77,9.17
570,tazovskiy,92,85,67.47,43.96,13.22
571,moron,75,78,10.49,79.86,3.49
572,illora,20,60,37.29,73.4,3.36
573,tigil,88,90,57.8,44.32,11.99
574,eustis,1,23,40.66,74.53,10.29
575,kavaratti,80,100,10.57,82.93,7.85
576,viedma,100,86,-40.81,47.74,14.79
577,tiksi,64,99,71.64,28.93,8.19
578,port-gentil,90,94,-0.72,77.0,10.29
579,corn island,64,100,12.17,79.6,6.73
580,menongue,24,72,-14.66,68.71,2.15
581,hami,0,65,42.84,39.28,3.71
582,prince rupert,90,100,54.32,55.4,3.36
583,balikpapan,40,83,-1.24,82.4,3.36
584,doha,0,63,25.29,91.4,6.93
585,wick,0,93,51.45,57.63,4.7
586,itarema,0,58,-2.92,83.38,19.6
587,caltagirone,40,32,37.24,67.35,12.75
588,masty,36,87,53.42,54.85,16.69
589,khuzhir,44,100,53.19,38.38,12.55
590,taksimo,92,100,56.36,33.07,1.59
591,carupano,36,93,10.67,80.77,4.72
592,dourbali,0,83,11.81,75.55,2.82
593,emba,20,83,34.81,75.11,4.7
594,mathathane,0,53,-22.27,76.81,12.44
595,agucadoura,0,88,41.43,69.1,6.93
